Product,Category,Date,Month,Hour,Department,ip,url
Team Golf New England Patriots Putter Grip,accessories,1/5/2018 7:57,Jan,7,outdoors ,111.190.119.49,/department/outdoors/category/accessories/product/Team%20Golf%20New%20England%20Patriots%20Putter%20Grip
The North Face Women's Recon Backpack,hunting & shooting,12/7/2017 15:36,Dec,15,fan shop ,144.82.207.174,/department/fan%20shop/category/hunting%20&%20shooting/product/The%20North%20Face%20Women's%20Recon%20Backpack/add_to_cart
Diamondback Women's Serene Classic Comfort Bi,camping & hiking,1/29/2018 22:54,Jan,22,fan shop ,176.136.47.111,/department/fan%20shop/category/camping%20&%20hiking/product/Diamondback%20Women's%20Serene%20Classic%20Comfort%20Bi
Under Armour Men's Compression EV SL Slide,electronics,12/14/2017 15:38,Dec,15,footwear ,101.42.61.49,/department/footwear/category/electronics/product/Under%20Armour%20Men's%20Compression%20EV%20SL%20Slide/add_to_cart
O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/25/2017 10:47,Sep,10,fan shop ,48.39.129.18,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest
Hirzl Men's Hybrid Golf Glove,golf balls,11/6/2017 11:12,Nov,11,outdoors ,161.6.236.83,/department/outdoors/category/golf%20balls/product/Hirzl%20Men's%20Hybrid%20Golf%20Glove
Bag Boy M330 Push Cart,golf gloves,10/5/2017 10:07,Oct,10,outdoors ,107.146.231.8,/department/outdoors/category/golf%20gloves/product/Bag%20Boy%20M330%20Push%20Cart
Pelican Sunstream 100 Kayak,water sports,9/5/2017 20:59,Sep,20,fan shop ,172.199.75.134,/department/fan%20shop/category/water%20sports/product/Pelican%20Sunstream%20100%20Kayak
The North Face Women's Recon Backpack,hunting & shooting,9/22/2017 18:16,Sep,18,fan shop ,192.252.16.122,/department/fan%20shop/category/hunting%20&%20shooting/product/The%20North%20Face%20Women's%20Recon%20Backpack/add_to_cart
Stiga Master Series ST3100 Competition Indoor,hockey,1/17/2018 7:55,Jan,7,fitness ,117.160.2.128,/department/fitness/category/hockey/product/Stiga%20Master%20Series%20ST3100%20Competition%20Indoor
adidas Kids' RG III Mid Football Cleat,featured shops,12/10/2017 16:32,Dec,16,apparel ,222.150.137.76,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat
adidas Youth Germany Black/Red Away Match Soc,girls' apparel,10/30/2017 12:53,Oct,12,golf ,101.151.155.21,/department/golf/category/girls'%20apparel/product/adidas%20Youth%20Germany%20Black/Red%20Away%20Match%20Soc/add_to_cart
Under Armour Women's Micro G Skulpt Running S,boxing & mma,11/2/2017 6:49,Nov,6,footwear ,122.67.177.215,/department/footwear/category/boxing%20&%20mma/product/Under%20Armour%20Women's%20Micro%20G%20Skulpt%20Running%20S/add_to_cart
adidas Men's Germany Black Crest Away Tee,girls' apparel,9/5/2017 7:28,Sep,7,golf ,49.51.212.3,/department/golf/category/girls'%20apparel/product/adidas%20Men's%20Germany%20Black%20Crest%20Away%20Tee
adidas Kids' RG III Mid Football Cleat,featured shops,12/5/2017 20:26,Dec,20,apparel ,38.92.95.169,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat
